序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1.您的性别是:  *,2.您所在的年级是:  *,3.您更加喜欢的颜色系是:  *,4.您平时参加体育锻炼的频率是:  *,5.您每次进行体育锻炼的时间是:  *,6.您每次进行体育锻炼的强度是:  *,7.您偏向的运动环境是:  *,8.请勾选您进行体育锻炼最常所选用的项目:  *,9.您认为影响您参加体育锻炼的因素重要性排序是: [排序题，请将最重要的放置在第一位] *,10.您认为运动类APP应该具有的功能排序（按重要程度）: [排序题，请将最重要的放置在第一位] *,11.您对运动类APP在以下属性方面的重要性程度的看法是: *—GPS运动轨迹记录运动历程,计步/计数获知日常运动量,制定运动计划和运动安排的执行程度,运动知识、视频指导的全面性与专业性程度,计算卡路里消耗,APP运动达人及好友的经验分享,音乐播放愉悦运动心情,使用运动类app的性价比优势（对比健身房等）,运动排行榜或好友间竞赛的激励方式,12.您的运动类 APP 使用经历是:  *,13.您使用运动类 APP 的频率是:  *,14.您每次使用的运动类 APP 时间是:  *,15.您坚持使用运动类 APP 多久了:  *,16.您目前使用的 APP 类型:  *,17.在下列运动类 APP 功能中，您最常使用的是:  *,18.您对运动类APP在以下属性方面的满意程度是: *—GPS运动轨迹记录运动历程,计步/计数获知日常运动量,制定运动计划和运动安排的执行程度,运动知识、视频指导的全面性与专业性程度,计算卡路里消耗,APP运动达人及好友的经验分享,音乐播放愉悦运动心情,使用运动类app的性价比优势（对比健身房等）,运动排行榜或好友间竞赛的激励方式,19.您认为您在运动中通过使用以上最常用的功能可以给您带来什么样的体验:  *,20.您认为您所使用的运动类 APP 能够帮您实现上一题中的体验的程度是:  *,21.您认为在运动中使用运动类 APP 是否提高您锻炼的效果:  *,22.在运动类 APP 的运动指导系列中您经常学习下列哪种?  *,23.通过使用运动类 APP，您认为其在哪里方面需要改进呢?  *
95,2019/6/15 20:21:29,181秒,微信,N/A,223.104.30.188(新疆-未知),B.女生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,B.一周1-2次,A.30分钟以内,B.出汗较多,B.集体健身活动（广场舞、集体骑行等）,D.兵乓球,B.空闲时间→A.锻炼兴趣→C.场地器材,卡路里消耗→视频指导/运动知识,一般,一般,一般,一般,一般,一般,一般,一般,一般,B.正在使用,A.一周1-2次,A.不足25min,A.不足半年,B.Keep┋D.悦跑圈,A.GPS记录运动轨迹,一般,一般,一般,一般,一般,一般,一般,一般,一般,B.成就感和挑战感(完成运动运动计划，运动圈分享胜利成果等带来的自我成就感),B.部分可以实现,C.低(很少提高),C.健身塑型,G.其他
96,2019/6/15 20:37:31,120秒,手机提交,直接访问,36.60.241.175(安徽-未知),A.男生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,B.一周1-2次,A.30分钟以内,C.稍微出汗,A.健身房,A.跑步┋B.篮球┋F.网球,B.空闲时间→A.锻炼兴趣→C.场地器材,运动计划→视频指导/运动知识→提供课程性价比高,一般,重要,重要,非常重要,一般,一般,重要,一般,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A.广告太多┋C.功能不够丰富┋D.记录不够准确┋F.提供知识全面性、科学性欠缺
97,2019/6/15 20:39:58,33秒,手机提交,直接访问,117.136.117.239(安徽-未知),A.男生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,B.一周1-2次,B.30分钟—60分钟,B.出汗较多,C.私人教练服务,B.篮球┋I.跳绳,D.专业辅导,视频指导/运动知识,重要,一般,一般,重要,一般,一般,重要,一般,一般,C.从未使用，有意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
98,2019/6/15 20:40:16,70秒,手机提交,直接访问,117.136.117.206(安徽-未知),A.男生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,C.一周3-4次,B.30分钟—60分钟,A.出汗很多,A.健身房,C.羽毛球,B.空闲时间→A.锻炼兴趣,GPS记录运动轨迹→计步/计数→音乐播放,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),D.记录不够准确
99,2019/6/15 20:40:17,263秒,手机提交,直接访问,100.120.34.17(国外-保留),A.男生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,B.一周1-2次,A.30分钟以内,C.稍微出汗,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋B.篮球┋其他〖电子竞技算不算〗,B.空闲时间→C.场地器材→A.锻炼兴趣→F.集体效应→E.媒体宣传→D.专业辅导,计步/计数→卡路里消耗→GPS记录运动轨迹→运动榜单/好友竞赛→视频指导/运动知识→音乐播放→运动计划→运动圈互动→提供课程性价比高,一般,非常重要,不重要,非常不重要,一般,重要,一般,一般,重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),D.记录不够准确┋G.其他
100,2019/6/15 21:06:54,92秒,手机提交,直接访问,223.104.35.245(安徽-合肥),A.男生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,A.几乎不,A.30分钟以内,C.稍微出汗,A.健身房,A.跑步┋B.篮球┋C.羽毛球┋D.兵乓球,A.锻炼兴趣→B.空闲时间,视频指导/运动知识,不重要,一般,一般,非常重要,重要,重要,一般,一般,不重要,D.从未使用，无意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
101,2019/6/15 21:16:19,120秒,手机提交,直接访问,36.60.169.54(安徽-未知),A.男生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,B.一周1-2次,B.30分钟—60分钟,A.出汗很多,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋B.篮球,A.锻炼兴趣→B.空闲时间,计步/计数→卡路里消耗→视频指导/运动知识,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,B.正在使用,A.一周1-2次,B.25min-30min,C.一年以上,D.悦跑圈,D.视频指导/运动知识┋E.卡路里消耗,满意,满意,满意,满意,满意,满意,满意,满意,满意,B.成就感和挑战感(完成运动运动计划，运动圈分享胜利成果等带来的自我成就感),A.基本可以实现,B.中(中等程度),B.运动装备┋D.运动损伤防护┋F.冬季运动,B.界面设计不合理┋E.激励机制有待提高┋F.提供知识全面性、科学性欠缺
102,2019/6/15 21:43:19,222秒,手机提交,直接访问,223.104.37.135(安徽-未知),A.男生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,B.一周1-2次,C.1小时—2小时,A.出汗很多,B.集体健身活动（广场舞、集体骑行等）,C.羽毛球,A.锻炼兴趣→B.空闲时间→C.场地器材→D.专业辅导→E.媒体宣传→F.集体效应→G.其他,计步/计数→卡路里消耗→运动计划→视频指导/运动知识→运动圈互动→音乐播放→运动榜单/好友竞赛→提供课程性价比高→GPS记录运动轨迹→其他,一般,重要,重要,重要,一般,重要,一般,一般,重要,B.正在使用,D.每天锻炼,A.不足25min,C.一年以上,H.其他,B.计步/记数,一般,一般,一般,一般,一般,一般,一般,一般,一般,B.成就感和挑战感(完成运动运动计划，运动圈分享胜利成果等带来的自我成就感),A.基本可以实现,B.中(中等程度),G.其它,A.广告太多┋B.界面设计不合理┋F.提供知识全面性、科学性欠缺
103,2019/6/15 21:55:14,137秒,手机提交,直接访问,36.61.197.24(安徽-合肥),A.男生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,E.每天锻炼,C.1小时—2小时,A.出汗很多,D.网络、app辅导,A.跑步┋B.篮球,A.锻炼兴趣→B.空闲时间→C.场地器材,运动计划→视频指导/运动知识→卡路里消耗→计步/计数→GPS记录运动轨迹,非常重要,非常重要,非常重要,非常重要,非常重要,不重要,不重要,不重要,不重要,B.正在使用,D.每天锻炼,C.30min-90min,A.不足半年,B.Keep,A.GPS记录运动轨迹┋B.计步/记数┋C.运动计划┋D.视频指导/运动知识┋E.卡路里消耗,满意,满意,满意,满意,满意,满意,满意,满意,满意,C.流畅感和自然感(在运动中加入音乐给你带来的舒适体验等),A.基本可以实现,A.高(很大程度上),A.运动训练┋C.健身塑型,G.其他
104,2019/6/15 22:45:26,61秒,手机提交,直接访问,36.60.169.123(安徽-未知),B.女生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,B.一周1-2次,A.30分钟以内,C.稍微出汗,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋E.排球,A.锻炼兴趣→B.空闲时间,计步/计数→卡路里消耗→运动计划→视频指导/运动知识,一般,重要,重要,非常重要,非常重要,重要,重要,非常重要,非常重要,C.从未使用，有意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
105,2019/6/15 22:58:53,176秒,微信,N/A,117.136.90.81(山西-未知),B.女生,A.大一,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,A.几乎不,A.30分钟以内,A.出汗很多,A.健身房,A.跑步┋I.跳绳┋K.游泳,A.锻炼兴趣→F.集体效应→C.场地器材→D.专业辅导→B.空闲时间→E.媒体宣传→G.其他,卡路里消耗→提供课程性价比高→音乐播放→运动计划→计步/计数→GPS记录运动轨迹→视频指导/运动知识→运动圈互动→运动榜单/好友竞赛→其他,非常重要,一般,重要,非常重要,非常重要,一般,重要,重要,重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A.广告太多┋D.记录不够准确┋E.激励机制有待提高┋F.提供知识全面性、科学性欠缺
106,2019/6/16 13:39:31,107秒,手机提交,直接访问,117.136.117.102(安徽-未知),B.女生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,B.一周1-2次,A.30分钟以内,C.稍微出汗,A.健身房,C.羽毛球┋E.排球,A.锻炼兴趣→F.集体效应→B.空闲时间→E.媒体宣传→D.专业辅导→C.场地器材→G.其他,卡路里消耗→GPS记录运动轨迹→运动榜单/好友竞赛→提供课程性价比高→音乐播放→运动圈互动→视频指导/运动知识→计步/计数→运动计划→其他,一般,重要,一般,一般,重要,重要,一般,重要,重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B.界面设计不合理┋C.功能不够丰富┋E.激励机制有待提高
107,2019/6/16 14:35:12,75秒,微信,N/A,119.188.101.155(山东-济南),B.女生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,B.一周1-2次,A.30分钟以内,C.稍微出汗,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋B.篮球┋C.羽毛球┋E.排球,A.锻炼兴趣→C.场地器材→B.空闲时间,GPS记录运动轨迹→卡路里消耗→运动计划→计步/计数→音乐播放,重要,重要,重要,重要,重要,重要,重要,重要,重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A.广告太多
108,2019/6/16 14:37:10,61秒,微信,N/A,112.224.20.32(山东-未知),B.女生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,E.每天锻炼,A.30分钟以内,A.出汗很多,B.集体健身活动（广场舞、集体骑行等）,A.跑步,F.集体效应,GPS记录运动轨迹,一般,一般,一般,一般,一般,一般,一般,一般,一般,D.从未使用，无意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
109,2019/6/16 14:37:19,81秒,微信,N/A,100.120.34.109(国外-保留),B.女生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,B.一周1-2次,A.30分钟以内,C.稍微出汗,D.网络、app辅导,A.跑步┋其他,B.空闲时间→D.专业辅导→C.场地器材→E.媒体宣传→F.集体效应→G.其他→A.锻炼兴趣,视频指导/运动知识→卡路里消耗→运动圈互动→音乐播放→计步/计数→GPS记录运动轨迹→运动计划→运动榜单/好友竞赛→提供课程性价比高→其他,重要,重要,非常重要,非常重要,重要,重要,非常重要,一般,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),D.记录不够准确┋F.提供知识全面性、科学性欠缺
110,2019/6/16 14:37:46,230秒,微信,N/A,121.18.115.235(河北-保定),B.女生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,B.一周1-2次,A.30分钟以内,C.稍微出汗,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋C.羽毛球┋H.健美操,A.锻炼兴趣→B.空闲时间→C.场地器材→D.专业辅导→F.集体效应,计步/计数→运动计划→卡路里消耗→视频指导/运动知识→运动圈互动→音乐播放→运动榜单/好友竞赛→提供课程性价比高,不重要,重要,重要,重要,重要,重要,重要,重要,重要,C.从未使用，有意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
111,2019/6/16 14:37:52,153秒,微信,N/A,218.201.159.205(山东-莱芜),B.女生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,E.每天锻炼,A.30分钟以内,A.出汗很多,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋C.羽毛球┋I.跳绳┋其他,A.锻炼兴趣→B.空闲时间→C.场地器材→G.其他,音乐播放→卡路里消耗→运动计划→计步/计数→运动榜单/好友竞赛,一般,一般,一般,一般,一般,一般,一般,一般,一般,B.正在使用,D.每天锻炼,B.25min-30min,A.不足半年,H.其他,B.计步/记数┋C.运动计划┋E.卡路里消耗,一般,一般,一般,一般,一般,一般,一般,一般,一般,B.成就感和挑战感(完成运动运动计划，运动圈分享胜利成果等带来的自我成就感),A.基本可以实现,B.中(中等程度),C.健身塑型┋E.健康饮食,A.广告太多┋C.功能不够丰富┋D.记录不够准确┋F.提供知识全面性、科学性欠缺
112,2019/6/16 14:38:42,167秒,微信,N/A,100.120.34.100(国外-保留),B.女生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,E.每天锻炼,A.30分钟以内,C.稍微出汗,B.集体健身活动（广场舞、集体骑行等）,A.跑步,A.锻炼兴趣→B.空闲时间→C.场地器材→F.集体效应→D.专业辅导→E.媒体宣传→G.其他,音乐播放→运动榜单/好友竞赛→卡路里消耗→GPS记录运动轨迹→计步/计数→运动计划→视频指导/运动知识→运动圈互动→提供课程性价比高→其他,一般,一般,非常重要,不重要,非常重要,非常重要,非常重要,重要,非常重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A.广告太多┋C.功能不够丰富
113,2019/6/16 14:40:08,117秒,微信,N/A,222.175.132.37(山东-济南),A.男生,A.大一,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,D.一周5-6次,B.30分钟—60分钟,C.稍微出汗,A.健身房,A.跑步┋B.篮球,B.空闲时间,视频指导/运动知识,一般,一般,非常重要,非常重要,非常重要,不重要,非常重要,一般,非常重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),E.激励机制有待提高
114,2019/6/16 14:40:53,87秒,微信,N/A,223.99.12.210(山东-济南),B.女生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,A.几乎不,A.30分钟以内,D.基本不出汗,B.集体健身活动（广场舞、集体骑行等）,C.羽毛球┋F.网球,A.锻炼兴趣→B.空闲时间,卡路里消耗→音乐播放,非常重要,非常重要,一般,非常重要,一般,一般,非常重要,一般,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),G.其他
115,2019/6/16 14:42:03,110秒,微信,N/A,111.14.212.75(山东-济南),B.女生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,A.几乎不,B.30分钟—60分钟,C.稍微出汗,D.网络、app辅导,A.跑步┋H.健美操┋I.跳绳,B.空闲时间→A.锻炼兴趣→C.场地器材→D.专业辅导→E.媒体宣传→F.集体效应→G.其他,计步/计数→运动计划→GPS记录运动轨迹→视频指导/运动知识→卡路里消耗→音乐播放→运动榜单/好友竞赛→运动圈互动→提供课程性价比高→其他,重要,非常重要,重要,重要,非常重要,一般,一般,一般,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A.广告太多┋B.界面设计不合理┋C.功能不够丰富┋D.记录不够准确┋E.激励机制有待提高┋F.提供知识全面性、科学性欠缺┋G.其他
116,2019/6/16 14:43:50,88秒,手机提交,直接访问,112.28.149.155(安徽-合肥),B.女生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,B.一周1-2次,B.30分钟—60分钟,A.出汗很多,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋E.排球,A.锻炼兴趣→B.空闲时间→C.场地器材→G.其他,GPS记录运动轨迹→计步/计数→卡路里消耗→运动计划→音乐播放→视频指导/运动知识,非常重要,非常重要,非常重要,重要,非常重要,一般,非常重要,非常重要,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),C.功能不够丰富┋E.激励机制有待提高
117,2019/6/16 14:45:00,83秒,手机提交,直接访问,117.136.117.51(安徽-未知),A.男生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,C.一周3-4次,C.1小时—2小时,B.出汗较多,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋B.篮球,A.锻炼兴趣→B.空闲时间,运动榜单/好友竞赛→运动计划→运动圈互动→视频指导/运动知识→卡路里消耗→音乐播放→计步/计数→提供课程性价比高→GPS记录运动轨迹,重要,重要,重要,一般,重要,重要,非常重要,重要,重要,C.从未使用，有意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
118,2019/6/16 14:45:42,140秒,手机提交,直接访问,112.28.150.125(安徽-合肥),B.女生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,C.一周3-4次,C.1小时—2小时,B.出汗较多,A.健身房,H.健美操┋J.瑜伽,A.锻炼兴趣→B.空闲时间→F.集体效应,GPS记录运动轨迹→卡路里消耗→视频指导/运动知识,非常重要,非常重要,重要,重要,非常重要,一般,重要,一般,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),C.功能不够丰富┋F.提供知识全面性、科学性欠缺
119,2019/6/16 14:45:42,97秒,微信,N/A,1.86.57.64(陕西-西安),B.女生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,A.几乎不,A.30分钟以内,C.稍微出汗,A.健身房,A.跑步┋C.羽毛球┋K.游泳,C.场地器材→D.专业辅导→B.空闲时间→A.锻炼兴趣→E.媒体宣传→F.集体效应→G.其他,GPS记录运动轨迹→计步/计数→运动计划→视频指导/运动知识→卡路里消耗→音乐播放→运动榜单/好友竞赛→提供课程性价比高,重要,重要,重要,重要,重要,不重要,重要,重要,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),E.激励机制有待提高┋F.提供知识全面性、科学性欠缺
120,2019/6/16 14:48:02,148秒,手机提交,直接访问,223.104.37.127(安徽-未知),B.女生,A.大一,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,E.每天锻炼,A.30分钟以内,C.稍微出汗,D.网络、app辅导,其他,B.空闲时间→A.锻炼兴趣→D.专业辅导→F.集体效应→E.媒体宣传→C.场地器材→G.其他,GPS记录运动轨迹→计步/计数→运动计划→卡路里消耗→音乐播放→提供课程性价比高→运动榜单/好友竞赛,一般,重要,非常重要,非常重要,一般,一般,重要,非常重要,重要,B.正在使用,C.一周5-6次,B.25min-30min,A.不足半年,B.Keep,E.卡路里消耗┋G.音乐播放,一般,一般,满意,满意,满意,满意,满意,满意,满意,B.成就感和挑战感(完成运动运动计划，运动圈分享胜利成果等带来的自我成就感),A.基本可以实现,B.中(中等程度),A.运动训练┋C.健身塑型,A.广告太多┋E.激励机制有待提高
121,2019/6/16 14:48:05,54秒,手机提交,直接访问,223.104.35.181(安徽-合肥),A.男生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,B.一周1-2次,B.30分钟—60分钟,B.出汗较多,B.集体健身活动（广场舞、集体骑行等）,D.兵乓球┋K.游泳,A.锻炼兴趣→B.空闲时间,音乐播放,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,非常不重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A.广告太多
122,2019/6/16 14:48:21,174秒,微信,N/A,182.118.251.111(河南-郑州),B.女生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,B.一周1-2次,C.1小时—2小时,A.出汗很多,A.健身房,A.跑步┋J.瑜伽,A.锻炼兴趣→B.空闲时间→C.场地器材,视频指导/运动知识→卡路里消耗,一般,一般,非常重要,非常重要,重要,重要,非常重要,非常重要,重要,B.正在使用,B.一周3-4次,C.30min-90min,C.一年以上,B.Keep,D.视频指导/运动知识,满意,满意,满意,满意,满意,满意,满意,满意,满意,B.成就感和挑战感(完成运动运动计划，运动圈分享胜利成果等带来的自我成就感),A.基本可以实现,A.高(很大程度上),A.运动训练┋C.健身塑型,G.其他
123,2019/6/16 14:49:45,175秒,手机提交,直接访问,117.136.100.54(安徽-合肥),A.男生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,B.一周1-2次,A.30分钟以内,C.稍微出汗,B.集体健身活动（广场舞、集体骑行等）,A.跑步,B.空闲时间→A.锻炼兴趣→C.场地器材→F.集体效应→E.媒体宣传→D.专业辅导→G.其他,运动计划→计步/计数→视频指导/运动知识→GPS记录运动轨迹→卡路里消耗→运动榜单/好友竞赛→运动圈互动→音乐播放→提供课程性价比高→其他,一般,重要,非常重要,非常重要,一般,一般,一般,重要,非常重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),E.激励机制有待提高
124,2019/6/16 14:50:33,250秒,手机提交,直接访问,223.104.35.162(安徽-合肥),B.女生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,B.一周1-2次,A.30分钟以内,B.出汗较多,D.网络、app辅导,A.跑步┋C.羽毛球┋J.瑜伽,A.锻炼兴趣→B.空闲时间,视频指导/运动知识→计步/计数,重要,重要,非常重要,非常重要,重要,一般,重要,重要,重要,B.正在使用,A.一周1-2次,A.不足25min,C.一年以上,B.Keep┋D.悦跑圈,B.计步/记数┋D.视频指导/运动知识┋E.卡路里消耗,满意,满意,不满意,一般,满意,满意,不满意,满意,一般,B.成就感和挑战感(完成运动运动计划，运动圈分享胜利成果等带来的自我成就感),A.基本可以实现,B.中(中等程度),A.运动训练┋C.健身塑型,F.提供知识全面性、科学性欠缺
125,2019/6/16 14:51:47,112秒,手机提交,直接访问,117.136.101.128(安徽-合肥),B.女生,A.大一,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,B.一周1-2次,C.1小时—2小时,C.稍微出汗,A.健身房,A.跑步┋H.健美操,A.锻炼兴趣,卡路里消耗→运动计划,一般,一般,一般,一般,重要,一般,一般,一般,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A.广告太多┋F.提供知识全面性、科学性欠缺
126,2019/6/16 14:51:55,111秒,手机提交,直接访问,117.136.100.245(安徽-合肥),B.女生,A.大一,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,A.几乎不,A.30分钟以内,C.稍微出汗,A.健身房,A.跑步,A.锻炼兴趣→B.空闲时间→C.场地器材→E.媒体宣传→D.专业辅导→F.集体效应,视频指导/运动知识→运动计划→提供课程性价比高→卡路里消耗→GPS记录运动轨迹→计步/计数→音乐播放→运动圈互动→运动榜单/好友竞赛,一般,一般,重要,非常重要,一般,重要,重要,重要,不重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A.广告太多
